A1BG
A2M
AACS
AAK1
AARD
AASS
ABAT
ABCA3
ABCC1
ABCC12
ABCC9
ABHD2
ABL2
ACAD10
ACAD11
ACAD9
ACAP3
ACBD7
ACP6
ACSBG1
ACTL6B
ACTN1
ACTRT3
ACVR2B
ADAD2
ADAT1
ADCYAP1R1
ADM
ADNP2
ADPGK-AS1
ADRA1A
ADRA2B
AFAP1L2
AFF1
AFF4
AFMID
AGAP1
AGBL5
AGMAT
AGPAT4
AGRN
AGT
AHCTF1
AHDC1
AHNAK
AHSG
AICDA
AIF1
AIPL1
AIRN
AKAP12
AKAP9
AKNA
AKR1D1
ALB
ALCAM
ALDH7A1
ALG1
ALOXE3
AMBRA1
AMER1
AMOTL1
AMOTL2
ANGPTL2
ANGPTL4
ANKLE2
ANKRD10
ANKRD17
ANKRD20A1
ANKRD20A4
ANKRD29
ANKRD31
ANKRD36
ANKRD36B
ANKRD9
ANKS4B
ANO1
ANXA1
ANXA2
ANXA3
ANXA5
AP1S3
AP4B1-AS1
AP4S1
AP5Z1
APC2
APOBEC3A
APOBEC3D
APOD
APOE
APOL1
APOL2
AQP4
AQP6
AQR
ARAP3
ARFGAP3
ARFGEF2
ARHGAP1
ARHGAP17
ARHGAP23
ARHGAP32
ARHGAP36
ARHGEF17
ARID1B
ARID4B
ARIH1
ARL17B
ARMC2
ARMC8
ARPC1B
ARPC4-TTLL3
ARRB2
ARSA
ART4
ARVCF
AS3MT
ASB11
ASB16
ASB16-AS1
ASCL1
ASIC3
ASL
ASNS
ASTN2
ASXL1
ATAD2B
ATAD3A
ATAD3C
ATF3
ATF5
ATF6B
ATG12
ATG2A
ATG7
ATN1
ATP10D
ATP11A
ATP13A4
ATP1A2
ATP1B1
ATP1B2
ATP1B4
ATP2B4
ATP6V0A2
ATP6V0C
ATP8B3
ATP9B
ATRN
ATXN3
AXDND1
AXIN1
B3GALT6
B3GNT6
B4GALNT1
B4GALT5
BACE1-AS
BASP1
BAZ2B
BBIP1
BBOX1
BBS5
BCAN
BCAR3
BCAS1
BCL2A1
BCL2L2-PABPN1
BCL9L
BEST3
BEX1
BFSP2
BHLHB9
BHMT2
BLCAP
BMS1
BNIP3
BNIP3L
BNIPL
BPTF
BRCC3
BRD1
BRD3
BRD8
BRIP1
BRSK2
BSN
BTAF1
BTBD7
BTG2
BTRC
BVES-AS1
C10orf53
C10orf62
C11orf80
C12orf4
C12orf77
C17orf75
C17orf77
C19orf66
C1GALT1
C1QL1
C1R
C1S
C1orf116
C1orf210
C20orf194
C20orf202
C21orf62
C22orf15
C2CD3
C2orf76
C2orf83
C2orf88
C2orf91
C3
C3AR1
C3orf58
C3orf62
C4A
C8G
C8orf86
C9orf135
CA10
CA12
CA2
CA4
CA9
CABP4
CACNA1I
CACNG8
CAD
CADM2
CADM3
CADM4
CAMTA2
CAPN2
CAPRIN2
CARM1
CASP8AP2
CAV1
CAV3
CBL
CBX6
CC2D2A
CCBE1
CCDC106
CCDC112
CCDC122
CCDC142
CCDC174
CCDC6
CCDC77
CCDC80
CCDC84
CCDC91
CCL16
CCL22
CCL25
CCL5
CCNB3
CCNDBP1
CCR9
CCSAP
CCT2
CD151
CD200
CD24
CD2BP2
CD3G
CD40
CD44
CD68
CD70
CD79A
CD84
CD96
CDC42BPA
CDC42BPB
CDK11B
CDK12
CDK15
CDK18
CDK5RAP2
CDKN1A
CDKN2B-AS1
CDNF
CDR1
CEACAM4
CEACAM8
CECR2
CEP104
CEP164
CEP170
CEP192
CEP350
CEP85L
CEP97
CES3
CFI
CFLAR
CHAD
CHAF1A
CHD3
CHD7
CHD8
CHI3L1
CHP2
CHPF2
CHPT1
CHRDL2
CHRM3
CHST11
CHST6
CISD1
CISD3
CITED1
CITED2
CIZ1
CKAP4
CLASP1
CLASRP
CLCN7
CLDN11
CLDN16
CLEC4E
CLEC7A
CLIC1
CLIC4
CLIP3
CLOCK
CLSTN3
CLU
CLUH
CMBL
CMKLR1
CMTM5
CNFN
CNOT1
CNOT6L
CNP
CNTN1
COL11A1
COL18A1
COL20A1
COL4A1
COL4A3BP
COL6A1
COL9A1
CORO2A
COX6B2
CPD
CPNE4
CPPED1
CPSF4
CPT1A
CRABP1
CREG2
CRTAM
CRX
CRYM
CSAG1
CSE1L
CSMD1
CSMD2
CSNK1E
CSNK1G2
CSPP1
CSRNP2
CST1
CST3
CST5
CSTB
CTBP2
CTCFL
CTNND1
CTSB
CTU2
CUL3
CWC25
CXorf36
CXorf56
CYP1A2
CYP20A1
CYP24A1
CYR61
CYSLTR2
CYTIP
DAAM1
DAGLA
DAND5
DBI
DBN1
DCDC2B
DCLK1
DCTN2
DCX
DDA1
DDAH2
DDC
DDI2
DDIT3
DDX11
DDX42
DDX51
DDX59
DENND1A
DENND2A
DENND5B
DESI1
DGCR2
DGKG
DHRS3
DHRS4-AS1
DHRS4L2
DHTKD1
DHX33
DHX35
DHX57
DIS3L
DKK1
DLEU2
DLG4
DLG5
DLGAP4
DLL1
DLL3
DLX1
DLX5
DLX6
DLX6-AS1
DMC1
DMD
DMKN
DMPK
DMXL1
DNAAF1
DNAJB1
DNAJB5
DNAJB9
DNAJC15
DNAJC16
DNAJC22
DNAJC24
DNASE1
DOCK10
DPYSL3
DPYSL5
DRD1
DSCAML1
DSEL
DSG1
DST
DUSP8
DYNAP
DYNC1I1
DYNC2H1
DZIP3
ECE1
EDEM1
EDNRB
EEF2K
EEFSEC
EFEMP1
EGFL8
EGFR
EGLN3
EHD2
EIF2D
EIF4EBP2
ELANE
ELAVL4
ELL3
ELMO1
ELMOD1
ELN
ELOVL2
EMP1
EMP3
ENG
ENO2
ENPP7
EP400
EPAS1
EPB41L2
EPB41L4A
EPHA10
EPHB3
EPN1
EPO
ERBB2
ERBB3
ERBB4
ERC1
ERICH1
ERVV-1
ESYT2
ETV1
EXD1
EXOC3L2
EXOSC6
F3
FABP5
FABP7
FADS6
FAM120AOS
FAM124B
FAM126B
FAM131B
FAM131C
FAM133B
FAM153C
FAM160B2
FAM180B
FAM181B
FAM184B
FAM193A
FAM204A
FAM20B
FAM213B
FAM228B
FAM229B
FAM3C
FAM49A
FAM53B
FAM74A1
FAM83G
FAM8A1
FAM9B
FARP1
FARP2
FASTKD1
FAT1
FAT3
FBRS
FBXL15
FBXL18
FBXO10
FBXO27
FBXO32
FBXO6
FCAR
FCF1
FCHSD1
FCRL3
FCRL5
FEZF2
FGD4
FGF12
FGF5
FGFR1
FGFR1OP
FIBIN
FIGNL1
FKBP14
FKBP9
FKTN
FLNA
FLYWCH1
FN1
FNBP1L
FOXA1
FOXL1
FOXN3
FOXRED1
FOXRED2
FOXS1
FREM3
FRRS1
FTH1
FTL
FTX
FUT1
FUT2
FUZ
FXN
FXYD6
FZD5
GAB2
GALE
GALM
GALNTL5
GALNTL6
GAPDH
GARNL3
GAS6-AS1
GAS7
GAST
GATA4
GATAD1
GATM
GBE1
GCC2
GCLM
GDF15
GEMIN8
GFAP
GFI1B
GFOD2
GFPT2
GGCX
GGT6
GIGYF1
GIMAP7
GIPC2
GJA1
GJC1
GLCCI1
GLI3
GLIPR1L2
GLUL
GMFG
GNE
GNG3
GNG7
GNRH2
GOLGA1
GOLGA8A
GOLT1B
GP2
GP9
GPAM
GPANK1
GPC2
GPHN
GPI
GPM6B
GPR151
GPR155
GPR17
GPR37L1
GPR82
GRIA3
GRID1-AS1
GRID2
GRIK2
GRIN2B
GRM4
GRP
GSDMA
GSDMC
GSK3B
GSN
GTF2H2C
GTF2H5
GYS2
H2AFX
H2AFY
H3F3C
HABP2
HAUS3
HAUS6
HCFC1
HCFC1R1
HEATR5B
HECTD2
HELZ2
HEPACAM
HEPN1
HERC1
HERPUD1
HES2
HES6
HEXIM1
HEY1
HGSNAT
HHIPL2
HILPDA
HIP1
HIPK2
HIRA
HIST1H2AC
HIST1H4F
HIST2H2AA3
HIST2H2AA4
HIVEP1
HIVEP2
HLA-DQA2
HLA-G
HMSD
HNRNPA0
HNRNPAB
HNRNPH1
HNRNPU
HNRNPUL1
HOPX
HOXA-AS3
HOXA13
HRASLS
HS3ST2
HSD17B13
HSH2D
HSP90AA1
HSPA5
HSPA9
HSPB1
HSPE1-MOB4
HTRA4
HTT
HUWE1
IAPP
ICA1L
ICAM2
ICK
ICMT
IFITM3
IFNLR1
IFT172
IFT88
IGF1R
IGFBP3
IGFBP7
IGFBPL1
IGFL2
IGLL5
IL10
IL12RB1
IL13
IL17RD
IL18BP
IL6R
IMPAD1
INA
ING5
INMT
INO80E
INPP4A
INSIG2
INSM1
IPO13
IPO8
IPO9
IPPK
IQCE
IRF1
IRF2BPL
IRF8
ISM2
ITGA7
ITGAE
ITGB3BP
ITM2A
ITPK1
ITPR3
JMY
JPX
JUND
KALRN
KANK3
KANSL1L
KAT6B
KCNA7
KCNG2
KCNH5
KCNH7
KCNIP4-IT1
KCNJ5
KCNT2
KCTD7
KDM6A
KHDC3L
KIAA0513
KIAA0930
KIAA1147
KIAA1217
KIAA1549
KIAA1586
KIAA1614
KIF13B
KIF16B
KIF1C
KIF21A
KIF5A
KIF5C
KIFC3
KIN
KLC1
KLHDC10
KLHL20
KLHL22
KLHL25
KLHL28
KLHL4
KLK7
KLRD1
KRT222
KRT75
KRTAP5-7
KRTAP5-8
L1TD1
LAIR1
LAMP1
LARP4B
LARS2
LBH
LBX1
LCNL1
LCORL
LCP1
LDHA
LEPR
LETM1
