AACS
ABCA5
ABCC3
ABCC9
ABHD2
ABHD3
ABI1
ABI3BP
ABLIM3
ACACA
ACR
ACSL6
ACTL7B
ACTN2
ACTR3C
ACVR2A
ADAM12
ADAM17
ADAM33
ADAMTS12
ADAMTS17
ADAMTS19
ADAMTS3
ADAMTS6
ADAMTS9-AS2
ADAMTSL1
ADAMTSL3
ADARB2
ADCY2
ADCY8
ADD3
ADGRA1
ADGRG6
ADGRV1
ADIPOQ-AS1
ADK
ADPRH
ADRA1A
ADRA1B
ADTRP
AFAP1
AFF2
AFF3
AGAP2
AGBL4
AGO3
AGR3
AGXT
AGXT2
AIMP1
AK5
AKAP12
AKAP13
ALCAM
ALK
ALOX15B
AMZ1
AMZ2
ANGPT1
ANK1
ANK2
ANKFN1
ANKRD18A
ANKRD29
ANKRD30B
ANKRD30BL
ANKRD34B
ANKRD55
ANO3
ANO4
ANO6
ANTXR1
ANXA1
ANXA4
AOX1
AP1S1
AP1S2
AP2B1
APBA2
APOC4-APOC2
APOH
ARAP2
ARHGAP10
ARHGAP15
ARHGAP20
ARHGAP22
ARHGAP24
ARHGAP28
ARHGAP31
ARHGAP42
ARHGAP5
ARHGAP6
ARHGEF18
ARHGEF28
ARHGEF3
ARL13B
ARL15
ARL4C
ARMC3
ARMC9
ARMCX5
ARNTL2
ARPP19
ARPP21
ARSJ
ARX
ASAP1
ASAP2
ASCC3
ASCL4
ASCL5
ASIC2
ASTN2
ASXL3
ATAD2
ATF7IP2
ATG16L1
ATN1
ATP10A
ATP10B
ATP11C
ATP13A4-AS1
ATP1B4
ATP2B1
ATP2B4
ATP2C2
ATP6V1H
B2M
B3GALT2
B3GAT1
B3GAT2
B4GALNT3
BAALC
BABAM1
BACH2
BANF2
BARHL1
BARHL2
BATF2
BBS9
BCCIP
BCL11A
BCL11B
BCL2
BCO2
BCOR
BDNF
BHLHE40
BICD1
BLOC1S2
BMP2K
BMPER
BMPR1B
BPIFB1
BRD8
BRINP3
BTBD11
BTNL9
BTRC
C10orf55
C10orf91
C11orf80
C12orf42
C14orf39
C15orf48
C17orf82
C1QTNF9
C1QTNF9B
C1orf21
C1orf210
C20orf194
C22orf34
C22orf42
C2orf16
C3orf70
C4orf3
C8orf34
C8orf49
CA10
CA12
CA2
CA8
CA9
CABP1
CACHD1
CACNA1B
CACNA1E
CACNA2D1
CACNA2D3
CACNB2
CACNG3
CADM1
CADPS
CADPS2
CALB2
CALCRL
CALM1
CALN1
CALY
CAMK1D
CAMK2A
CAMK2D
CAMK2G
CAMKMT
CAPN1
CAPS2
CARS
CASC15
CASC9
CASP1
CBLN2
CBLN3
CBX6
CCBE1
CCDC14
CCDC171
CCDC42
CCDC85A
CCDC85B
CCK
CCL18
CCL19
CCM2
CCR2
CCR5
CCRL2
CCZ1B
CD1B
CD248
CD300C
CD36
CD7
CDC14A
CDC42SE1
CDH10
CDH11
CDH12
CDH13
CDH2
CDH20
CDH6
CDH7
CDH8
CDH9
CDHR1
CDHR3
CDK14
CDK18
CDKN2B
CELA1
CELF1
CELF2
CELF4
CEP162
CEP170
CEP85L
CERS1
CERS6
CES4A
CFAP221
CFAP45
CFAP46
CFB
CFTR
CGA
CGB7
CHL1
CHN2
CHODL
CHRM2
CHRM3
CHRM3-AS2
CHRNA7
CHST11
CHST8
CHST9
CHSY3
CKMT1B
CKMT2-AS1
CLASRP
CLEC2B
CLEC2L
CLEC4E
CLIP1
CLLU1OS
CLMP
CLPSL2
CLSTN2
CMTM8
CNIH3
CNKSR3
CNR1
CNTN3
CNTN4
CNTN5
CNTN6
CNTNAP2
CNTNAP3
CNTNAP3B
CNTNAP4
CNTNAP5
COG5
COG6
COL11A1
COL12A1
COL19A1
COL1A1
COL21A1
COL24A1
COL25A1
COL5A2
COL6A1
COL6A5
