A2M
AAK1
AASS
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA4
ABCA5
ABCA8
ABCA9
ABCB1
ABCC2
ABCC4
ABCC5
ABCC9
ABCG1
ABCG2
ABHD12
ABHD14A
ABHD14B
ABHD17C
ABHD3
ABHD4
ABHD6
ABI1
ABI3BP
ABL1
ABLIM1
ABLIM2
ABLIM3
ABR
ABTB2
AC002454.1
AC005154.6
AC005281.1
AC007319.1
AC007966.1
AC009065.1
AC009495.2
AC010884.1
AC010976.2
AC011043.1
AC012593.1
AC016831.7
AC016910.1
AC019118.2
AC068057.1
AC069213.1
AC079354.1
AC091133.1
AC096677.1
AC123768.4
AC131097.3
AC137932.1
AC140912.1
ACACA
ACACB
ACAN
ACAP2
ACE
ACER3
ACKR3
ACMSD
ACOT11
ACOT2
ACOT7
ACOXL
ACRBP
ACSBG1
ACSBG2
ACSF3
ACSL1
ACSL6
ACSM3
ACSS1
ACSS3
ACTA2
ACTB
ACTG1
ACTN1
ACTN2
ACTN4
ACTR2
ACVR1
ACVR2A
ACVRL1
ADAM10
ADAM12
ADAM17
ADAM19
ADAM22
ADAM23
ADAM28
ADAM33
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS3
ADAMTS6
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTS9-AS2
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAP2
ADARB1
ADARB2
ADARB2-AS1
ADCK2
ADCY1
ADCY2
ADCY4
ADCY5
ADCY7
ADCY8
ADCY9
ADCYAP1R1
ADD1
ADD2
ADD3
ADGB
ADIPOR2
ADK
ADM
ADORA2B
ADPGK
ADRA1A
ADRA1D
ADSSL1
AEBP1
AF131215.3
AFAP1
AFAP1L1
AFAP1L2
AFF1
AFF2
AFF3
AGA
AGAP1
AGBL1
AGBL2
AGBL4
AGFG1
AGMO
AGO2
AGO3
AGO4
AGRN
AGTR1
AHCYL1
AHI1
AHNAK
AIG1
AIP
AJAP1
AK1
AK4
AK5
AK8
AKAP10
AKAP12
AKAP13
AKAP6
AKAP8L
AKNA
AKR1A1
AKT3
AL162431.1
AL354822.1
AL592183.1
ALCAM
ALDH1A2
ALDH1A3
ALDH1L1
ALDH1L1-AS2
ALDH7A1
ALG10B
ALG13
ALG1L
ALG3
ALK
ALOX12
ALOX5
ALPK1
ALPK3
ALPL
ALS2
ALX4
AMER2
AMMECR1
AMOTL1
AMOTL2
AMPD3
AMZ1
ANGPT1
ANGPT2
ANGPTL2
ANK1
ANK2
ANK3
ANKAR
ANKFN1
ANKH
ANKHD1-EIF4EBP3
ANKMY1
ANKRD11
ANKRD28
ANKRD30BL
ANKRD36
ANKRD36B
ANKRD37
ANKRD44
ANKRD50
ANKRD55
ANKRD6
ANKS1A
ANKS1B
ANLN
ANO1
ANO10
ANO2
ANO3
ANO4
ANO5
ANO6
ANP32A
ANP32B
ANP32E
ANTXR1
ANTXR2
ANXA1
ANXA2
ANXA4
AOAH
AOC2
AOX1
AP1B1
AP3B1
AP3S2
AP4B1-AS1
APAF1
APBA1
APBA2
APBB1IP
APBB2
APC
APCDD1
APEX2
APLN
APLP1
APLP2
APOL2
APOLD1
APP
APPL2
AQP1
AQP4
AQP4-AS1
AR
ARAP1
ARAP2
ARAP3
ARCN1
ARF6
ARFGEF1
ARFGEF2
ARFIP1
ARHGAP10
ARHGAP11B
ARHGAP12
ARHGAP15
ARHGAP17
ARHGAP18
ARHGAP19
ARHGAP20
ARHGAP21
ARHGAP22
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP27
ARHGAP28
ARHGAP29
ARHGAP31
ARHGAP32
ARHGAP35
ARHGAP39
ARHGAP4
ARHGAP42
ARHGAP44
ARHGAP5
ARHGAP6
ARHGDIB
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF11
ARHGEF12
ARHGEF15
ARHGEF17
ARHGEF2
ARHGEF26
ARHGEF28
ARHGEF3
ARHGEF33
ARHGEF4
ARHGEF40
ARHGEF6
ARHGEF7
ARID2
ARID3A
ARID5A
ARID5B
ARL15
ARL5A
ARMC2
ARMC3
ARMC4
ARMC5
ARMCX6
ARNT2
ARNTL
ARNTL2
ARPC1B
ARPC2
ARPC4
