A2M
A4GNT
AACS
ABCA10
ABCA3
ABCA6
ABCA8
ABCC3
ABCC9
ABHD2
ABHD3
ABI1
ABI3BP
ABLIM3
ACACA
ACAP2
ACBD5
ACIN1
ACOT7
ACP5
ACSL6
ACSS1
ACTL10
ACTL7B
ACTN2
ACTR10
ACTR3B
ACTR3C
ACVR1C
ACVR2A
ACVRL1
ACYP1
ADAM11
ADAM12
ADAM17
ADAM28
ADAM32
ADAM9
ADAMTS12
ADAMTS16
ADAMTS17
ADAMTS19
ADAMTS20
ADAMTS3
ADAMTS5
ADAMTS6
ADAMTSL1
ADAMTSL3
ADAR
ADARB2
ADCY2
ADCY8
ADD2
ADD3
ADGRA3
ADGRB1
ADGRB3
ADGRF1
ADGRG6
ADGRL2
ADGRV1
ADH1A
ADH1B
ADH4
ADIG
ADIPOQ
ADK
ADRA1A
ADRA1B
ADRA2B
ADRB2
ADRB3
ADTRP
AFAP1
AFDN
AFF1
AFF2
AFF3
AFG1L
AFP
AGAP6
AGBL4
AGPAT5
AGR2
AGTR1
AHCYL2
AICDA
AJM1
AJUBA
AK5
AKAP12
AKAP13
AKR1B10
ALAS2
ALCAM
ALDH3A1
ALDH8A1
ALG9
ALK
ALOX15B
ALX1
ALX3
AMN1
AMOTL1
AMY1A
AMY2B
AMZ1
AMZ2
ANAPC16
ANGPT1
ANGPT2
ANGPT4
ANK1
ANK2
ANK3
ANKFN1
ANKFY1
ANKRD1
ANKRD18A
ANKRD22
ANKRD24
ANKRD29
ANKRD30B
ANKRD30BL
ANKRD33
ANKRD33B
ANKRD44
ANKRD55
ANKRD6
ANKRD62
ANKRD66
ANLN
ANO1
ANO3
ANO4
ANO6
ANP32A
ANTXR1
ANTXR2
ANTXRL
ANXA1
ANXA3
ANXA4
AOC1
AP1S2
AP2M1
AP3B2
APBA2
APBB1IP
APC
APELA
APOA2
APOBEC3C
APOBEC3D
APOBEC3H
APOBR
APOD
APOE
APOF
APOL4
APOM
APPL1
APTX
AQP4
AQP6
ARAP2
ARGLU1
ARHGAP10
ARHGAP15
ARHGAP18
ARHGAP20
ARHGAP22
ARHGAP24
ARHGAP26
ARHGAP28
ARHGAP31
ARHGAP39
ARHGAP42
ARHGAP5
ARHGAP6
ARHGDIB
ARHGEF26
ARHGEF28
ARHGEF3
ARHGEF35
ARHGEF5
ARHGEF7
ARID4B
ARL11
ARL13B
ARL14EP
ARL15
ARL3
ARL4C
ARMC2
ARMC3
ARMC9
ARMH4
ARPC5L
ARPP19
ARPP21
ARRDC3
ARSI
ARSJ
ART3
ART5
ARX
ASAH1
ASAP1
ASAP2
ASB4
ASCC3
ASCL2
ASIC2
ASPA
ASTN2
ASXL2
ASXL3
ATF7IP2
ATL2
ATP10A
ATP10B
ATP11C
ATP13A3
ATP13A4
ATP1A2
ATP2B1
ATP2B3
ATP2B4
ATP2C2
ATP5MC3
ATP5PO
ATP6V0D1
ATP6V1B2
ATP6V1H
ATP7B
ATP8B1
ATP8B2
ATRNL1
AURKB
B2M
B3GALT2
B3GAT1
B3GAT2
B3GLCT
B4GALNT3
BAALC
BACH2
BAIAP2
BARHL2
BARX2
BASP1
BBS5
BBS7
BBS9
BBX
BCAN
BCAS1
BCHE
BCL11A
BCL11B
BCL2
BCL6B
BCO2
BDH1
BDNF
BEX1
BHLHE40
BICD1
BIK
BLACAT1
BMP2K
BMP5
BMPER
BMPR1B
BMT2
BNC2
BPI
BRINP3
BSG
BSN
BST2
BTBD17
BTNL9
BTRC
BZW2
C10orf53
C10orf90
C11orf58
C11orf80
C12orf42
C12orf71
C14orf39
C16orf54
C16orf74
C16orf92
C19orf12
C19orf33
C19orf47
C19orf67
C19orf84
C1QA
C1QB
C1QC
C1QL1
C1QL4
C1QTNF9B
C1orf21
C1orf210
C1orf43
C20orf144
C22orf31
C22orf42
C2CD2L
C2CD3
C2CD4A
C2orf16
C2orf80
C3orf14
C3orf70
C3orf85
C4A
C4B
C4orf47
C5orf22
C5orf46
C7
C7orf33
C8orf34
C8orf82
C9orf152
C9orf43
C9orf72
CA1
CA10
CA13
CA2
CA8
CABP1
CACHD1
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA2D1
CACNA2D3
CACNB2
CACNG3
CACNG8
CADM1
CADM2
CADM3
CADPS
CADPS2
CALB1
CALB2
CALCA
CALCRL
CALD1
CALHM5
CALN1
CAMK1D
CAMK2A
CAMK2D
CAMK2G
CAMK2N1
CAMK2N2
CAMK4
CAMKMT
CAND1
CAPN6
CAPN9
CAPS2
CAPZA2
CAPZB
CARD18
CARNMT1
CARNS1
CASC3
CASP5
CATSPER1
CAV3
CAVIN2
CBLB
CBLN2
CBLN4
CBS
CCAR1
CCBE1
CCDC138
CCDC14
CCDC171
CCDC188
CCDC191
CCDC197
CCDC25
CCDC27
CCDC3
CCDC30
CCDC42
CCDC50
CCDC57
CCDC85A
CCDC88A
CCDC91
CCDC93
CCIN
CCK
CCL16
CCL19
CCL22
CCL3L1
CCL4
CCNB1IP1
CCNC
CCNYL1
CCR5
CCR7
CCR8
CCRL2
CCSER1
CCSER2
CCT2
CCT8L2
CD163L1
CD177
CD180
CD19
CD1D
CD2
CD200
CD207
CD209
CD248
CD28
CD300C
CD36
CD37
CD3D
CD40LG
CD79B
CD84
CDADC1
CDC123
CDC14A
CDC25B
CDH10
CDH11
CDH12
CDH13
CDH15
CDH18
CDH2
