A2M
A2M-AS1
AATK
ABCA2
ABCA9
ABCB1
ABCD2
ABI3
AC007319.1
AC007620.3
AC009110.1
AC009228.1
AC009299.3
AC009495.2
AC010890.1
AC012593.1
AC015987.1
AC022182.1
AC053503.4
AC062028.1
AC073316.1
AC073657.1
AC079354.3
AC084809.2
AC092159.2
AC092198.1
AC092484.1
AC100830.3
AC104699.1
AC107057.1
AC131097.4
AC144831.1
ACAA1
ACAN
ACAP1
ACAP3
ACAT2
ACOT1
ACOT12
ACOT7
ACP1
ACP5
ACSL3
ACSM1
ACSM3
ACTB
ACTBL2
ACTG1
ACTN1
ACTN4
ACVR1C
ADAMTS17
ADAMTS4
ADAP2
ADCY4
ADGRD1
ADGRE3
ADGRF3
ADGRG1
ADGRG3
ADH5
ADI1
ADM
ADPGK-AS1
ADRA2B
ADRB3
ADRM1
ADTRP
AEBP1
AES
AFP
AGAP2-AS1
AGRP
AGT
AHNAK
AHSA1
AIF1
AIF1L
AIRE
AJAP1
AK1
AKAP12
AKAP3
AKAP9
AKR1B1
AKR1C3
AKR1E2
AKR7A3
AL354822.1
AL592528.1
ALDH1A2
ALDH7A1
ALDH8A1
ALK
ALOX5AP
ALX3
AMBP
AMDHD1
AMER2
AMZ1
ANAPC11
ANAPC16
ANGPTL4
ANK3
ANKDD1B
ANKRD2
ANKS1B
ANLN
ANO1
ANO9
ANP32B
ANXA1
ANXA2
ANXA5
ANXA7
AOC1
AP000265.1
AP000442.1
AP001056.1
AP001257.1
AP003774.1
AP003774.4
AP1S1
AP1S2
AP2B1
AP2M1
APBB1
APBB1IP
APELA
APEX1
APLP1
APOBEC3G
APOC1
APOC2
APOD
APOE
APP
AQP4
AQP6
ARAP1-AS2
ARC
AREG
ARF4
ARHGAP18
ARHGAP21
ARHGAP28
ARHGAP29
ARHGAP8
ARHGDIB
ARHGEF16
ARHGEF33
ARL1
ARL2
ARL3
ARL4C
ARL6IP4
ARL6IP5
ARMC3
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4-TTLL3
ARPC5L
ARRB2
ARRDC2
ART5
ARTN
ASCL1
ASCL4
ASIC3
ASMTL-AS1
ASPRV1
ASS1
ASTL
ATF3
ATOX1
ATP1A1
ATP1B1
ATP1B2
ATP1B3
ATP2B1
ATP2B3
ATP6V0C
ATP6V0E2
ATP8A1
ATP8B1
AURKAIP1
AXDND1
AZGP1
AZU1
B2M
B3GAT1
B3GNT6
BAALC
BABAM1
BAD
BAG3
BAMBI
BANCR
BANF1
BANK1
BARX1
BASP1
BAX
BBOX1
BBX
BCAN
BCAS1
BCDIN3D-AS1
BCHE
BCL2A1
BCL7C
BDKRB2
BEND4
BEX1
BHMT2
BID
BIN1
BIRC5
BLACAT1
BLID
BLK
BLOC1S1
BLOC1S2
BMP5
BMP7
BOLA3
BORCS8
BPI
BRI3
BRK1
BSG
BSPRY
BST2
BTF3
BUD31
C10orf53
C10orf67
C10orf95
C11orf58
C12orf56
C12orf57
C12orf75
C14orf178
C14orf39
C15orf48
C17orf50
C17orf99
C19orf33
C19orf48
C19orf53
C1QA
C1QB
C1QBP
C1QC
C1QL1
C1orf122
C1orf127
C1orf162
C1orf194
C1orf198
C1orf220
C1orf43
C1orf61
C20orf141
C21orf62
C2CD4D
C2orf50
C2orf80
C2orf91
C3
C3AR1
C4BPB
C4orf48
C5AR1
C6orf163
C6orf223
C6orf48
C7orf33
C7orf57
C8orf33
C9orf139
C9orf24
C9orf3
C9orf78
CA2
CA4
CA5A
CACNA1C-AS1
CACNA1F
CACNG8
CADM2
CADM4
CAGE1
CALB2
CALCR
CALD1
CALM1
CALM3
CALN1
CALU
CAMK2N1
CAMSAP3
CAP1
CAPG
CAPN11
CAPN13
CAPN2
CAPN3
CAPNS1
CAPNS2
CAPS
CARD14
CARD17
CARD19
CARHSP1
CARMN
CARNS1
CASC11
CAST
CAV1
CAV2
CBLN2
CBR1
CBS
CBX1
CBX3
CBX5
CCDC13-AS1
CCDC137
CCDC140
CCDC141
CCDC144NL-AS1
CCDC154
CCDC158
CCDC167
CCDC17
