A1BG-AS1
A2M
A2M-AS1
AAAS
AACS
AAGAB
AAK1
AAMDC
AAMP
AARD
AARS
AARSD1
AASDH
AASDHPPT
AATF
ABAT
ABCA1
ABCA2
ABCA3
ABCA5
ABCB1
ABCB6
ABCB8
ABCB9
ABCC10
ABCC5
ABCC9
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCG1
ABCG2
ABCG5
ABHD1
ABHD10
ABHD11
ABHD12
ABHD13
ABHD14A
ABHD16A
ABHD17A
ABHD17C
ABHD18
ABHD2
ABHD3
ABI1
ABI2
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM3
ABRACL
ABT1
ABTB1
ABTB2
AC002454.1
AC002480.3
AC004556.1
AC005253.2
AC005498.3
AC005597.1
AC007383.3
AC007620.3
AC009065.4
AC010649.1
AC012506.4
AC016722.3
AC026904.1
AC034228.3
AC062021.1
AC072062.1
AC083949.1
AC093159.1
AC099342.1
AC105760.2
AC141928.1
AC144831.1
ACAA1
ACAA2
ACACA
ACAD8
ACADM
ACADVL
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD5
ACBD6
ACBD7
ACCS
ACD
ACE
ACER3
ACHE
ACIN1
ACKR1
ACLY
ACO1
ACO2
ACOT1
ACOT11
ACOT13
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACP1
ACP2
ACSF3
ACSL3
ACSL4
ACSM5
ACSS2
ACTA1
ACTB
ACTC1
ACTG1
ACTL6A
ACTL6B
ACTN1
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR6
ACTR8
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVRL1
ACY3
ACYP1
ACYP2
ADA
ADAL
ADAM10
ADAM11
ADAM12
ADAM17
ADAM23
ADAM28
ADAM9
ADAMTS1
ADAMTS12
ADAMTS3
ADAMTS4
ADAMTS8
ADAMTS9
ADAMTSL1
ADAP1
ADAP2
ADAR
ADARB1
ADAT1
ADCK2
ADCY1
ADCY4
ADCY5
ADCY7
ADD1
ADD3
ADGRA1-AS1
ADGRA2
ADGRB3
ADGRE3
ADGRE5
ADGRF5
ADGRG1
ADGRG2
ADGRL1
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH5
ADI1
ADIPOR1
ADIPOR2
ADIRF
ADK
ADM
ADM2
ADNP
ADNP2
ADO
ADORA2A-AS1
ADORA2B
ADORA3
ADPGK
ADPRHL2
ADPRM
ADRA2A
ADRA2C
ADRM1
ADSL
ADSS
AEBP1
AEBP2
AES
AFAP1
AFAP1L1
AFAP1L2
AFF1
AFF3
AFF4
AFG3L2
AFMID
AFTPH
AGAP1
AGAP3
AGAP5
AGBL5
AGER
AGFG1
AGGF1
AGL
AGO1
AGO2
AGO3
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGPS
AGRN
AGT
AGTPBP1
AGTR1
AHCTF1
AHCY
AHCYL1
AHDC1
AHI1
AHNAK
AHNAK2
AHR
AHSA1
AIDA
AIF1
AIF1L
AIFM1
AIFM2
AIFM3
AIG1
AIM2
AIMP1
AIMP2
AIP
AK1
AK2
AK3
AK6
AK9
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP17A
AKAP6
AKAP7
AKAP8L
AKAP9
AKIP1
AKIRIN1
AKIRIN2
AKR1A1
AKR1B1
AKR7A2
AKR7A3
AKT1
AKT1S1
AKT2
AKT3
AKTIP
ALAD
ALAS1
ALCAM
ALDH1L1
ALDH1L2
ALDH2
ALDH3A2
ALDH3B1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOC
ALG12
ALG13
ALG14
ALG1L2
ALG3
ALG5
ALG8
ALKBH2
ALKBH3
ALKBH4
ALKBH5
ALKBH7
ALMS1
ALOX5
ALOX5AP
ALPK3
ALYREF
AMD1
AMDHD2
AMER2
AMER3
AMFR
AMIGO1
AMIGO2
AMN1
AMOTL1
AMOTL2
AMPH
AMZ1
AMZ2
ANAPC10
ANAPC11
ANAPC13
ANAPC15
ANAPC16
ANAPC5
ANAPC7
ANGEL2
ANGPT1
ANGPT2
ANGPTL1
ANGPTL3
ANGPTL4
ANK1
ANK2
ANK3
ANKDD1A
ANKEF1
ANKFY1
ANKH
ANKIB1
ANKLE1
ANKLE2
ANKMY1
ANKMY2
ANKRA2
ANKRD10
ANKRD11
ANKRD12
ANKRD13C
ANKRD13D
ANKRD17
ANKRD18A
ANKRD20A3
ANKRD20A4
ANKRD23
ANKRD24
ANKRD26
ANKRD28
ANKRD29
ANKRD31
ANKRD34A
ANKRD35
ANKRD36
ANKRD36B
ANKRD36C
ANKRD37
ANKRD39
ANKRD40
ANKRD44
ANKRD46
ANKRD50
ANKRD52
ANKRD54
ANKRD9
ANKS1A
ANKS1B
ANKS3
ANKZF1
ANLN
ANO10
ANO3
ANO6
ANP32A
ANP32B
ANP32E
ANXA1
ANXA11
ANXA13
ANXA2
ANXA5
ANXA6
ANXA7
AP003774.4
AP1AR
AP1B1
AP1G1
AP1M1
AP1S1
AP1S3
AP2A1
AP2A2
AP2B1
AP2M1
AP2S1
AP3B1
AP3B2
AP3D1
AP3M1
AP3M2
AP3S1
AP4M1
AP4S1
AP5B1
AP5M1
APAF1
APBA2
APBB1
APBB1IP
APBB2
APBB3
APC
APC2
APCDD1
APEH
APEX1
APH1A
APH1B
API5
APIP
APLN
APLNR
APLP1
APLP2
APMAP
APOA1
APOBEC3G
APOBR
APOC1
APOC2
APOC4
APOC4-APOC2
APOD
APOE
APOL2
APOL4
APOLD1
APOO
APOOL
APOPT1
APP
APPBP2
APPL1
APPL2
APRT
APTR
APTX
AQP11
AQP4
AQR
ARAP3
ARC
ARCN1
AREL1
ARF1
ARF3
ARF4
ARF4-AS1
ARF5
ARF6
ARFGAP1
ARFGAP2
ARFGAP3
ARFGEF1
ARFGEF2
ARFGEF3
ARFIP1
ARFIP2
ARFRP1
ARG2
ARGLU1
ARHGAP1
ARHGAP11A
ARHGAP11B
ARHGAP12
ARHGAP18
ARHGAP19-SLIT1
ARHGAP21
ARHGAP22
ARHGAP26
ARHGAP29
ARHGAP30
ARHGAP33
ARHGAP35
ARHGAP42
ARHGAP5
ARHGAP5-AS1
ARHGDIA
ARHGDIB
ARHGDIG
ARHGEF1
ARHGEF10
ARHGEF12
ARHGEF15
ARHGEF17
ARHGEF2
ARHGEF38
ARHGEF4
ARHGEF40
ARHGEF7
ARHGEF9
ARID1A
ARID1B
ARID2
ARID3A
ARID4A
ARID4B
ARID5A
ARID5B
ARIH1
ARIH2
ARL1
ARL10
ARL13B
ARL14EP
ARL16
ARL17A
ARL17B
ARL2
ARL2BP
ARL3
ARL4A
ARL4C
ARL4D
ARL5A
ARL5B
ARL6IP1
ARL6IP4
ARL6IP5
ARL6IP6
ARL8A
ARL8B
ARMC1
ARMC10
ARMC6
ARMC8
ARMC9
ARMCX1
ARMCX2
ARMCX3
ARMCX3-AS1
ARMCX4
ARMCX5
ARMCX6
ARMT1
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ARPC5L
ARPP19
ARPP21
ARRB2
ARRDC1-AS1
ARRDC2
ARRDC3-AS1
ARSF
ART4
ARV1
ARVCF
ARX
ASAH1
ASAP1
ASAP2
ASB3
ASB6
ASB8
ASCC1
ASCC2
